id,EmployeeNumber,CalDate,IsSwipe,IsTravel,IsLeave,IsNoSwipe,IsWeekend,created_date,updated_date,HoPCount,LeaveType,HOP_TYPE
1,34577459,2025-01-07,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
2,34577690,2025-01-07,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
3,34577887,2025-01-07,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
4,34614855,2025-01-07,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
5,34614873,2025-01-07,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
6,34615104,2025-01-07,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
7,34615239,2025-01-07,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
8,34615248,2025-01-07,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
9,34615293,2025-01-07,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
10,34615426,2025-01-07,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
11,34615435,2025-01-07,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
12,34615444,2025-01-07,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
13,34615462,2025-01-07,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
14,34891797,2025-01-07,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
15,34891831,2025-01-07,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
16,34891877,2025-01-07,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
17,34897407,2025-01-07,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
18,34897416,2025-01-07,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
19,34897425,2025-01-07,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
20,34897434,2025-01-07,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
21,34897443,2025-01-07,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
22,34897461,2025-01-07,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
23,34897489,2025-01-07,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
24,34897498,2025-01-07,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
25,34897611,2025-01-07,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
26,34897620,2025-01-07,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
27,35122447,2025-01-07,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
28,35122483,2025-01-07,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
29,35122517,2025-01-07,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
30,35122562,2025-01-07,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
31,35122571,2025-01-07,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
32,35122884,2025-01-07,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
33,35122893,2025-01-07,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
34,35122919,2025-01-07,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
35,35122937,2025-01-07,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
36,35122964,2025-01-07,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
37,35122973,2025-01-07,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
38,35122982,2025-01-07,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
39,30577698,2025-01-07,0,1,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
40,30577769,2025-01-07,0,0,0,1,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
41,30578134,2025-01-07,1,0,0,0,0,NULL,2025-04-16 15:32:31.3722420,NULL,NULL,NULL
